Date/Time,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Pumps:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ElectricityNet:Facility [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly) 
 12/18  16:00:00,119174528.9,0,8751049.484,0,8652.895022,0,168356066.8,458380956.9,0,141366320,148649917.2,458380956.9,458380956.9,29475388.28
 12/18  17:00:00,109199157.5,0,13070506.83,0,8652.895022,0,178865773.9,454692356.2,0,141366320,134451609.4,454692356.2,454692356.2,25252451.84
 12/18  18:00:00,94265592.65,0,8701427.789,0,8652.895022,24298440,141927700.6,358053626.9,0,78536844.44,113281989,358053626.9,358053626.9,19016396.35
 12/18  19:00:00,83062881.44,0,4597009.177,0,8652.895022,29158128,69634939.79,244501323.5,341926.8226,47122106.66,98577496.16,244501323.5,244501323.5,15172687.89
 12/18  20:00:00,81513419.73,0,4597009.177,0,8652.895022,29158128,60292977.94,236182277.8,2914304.727,47122106.66,99600412.35,236182277.8,236182277.8,15172687.89
 12/18  21:00:00,78323514.87,0,4597009.177,0,8652.895022,29158128,60292977.94,222564483.4,8193783.988,31414737.77,101689986.7,222564483.4,222564483.4,15172687.89
 12/18  22:00:00,75607524.73,0,4597009.177,0,8652.895022,29158128,55621997.01,220002083.2,13018354.87,31414737.77,103798567.5,220002083.2,220002083.2,15172687.89
 12/18  23:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,100496146.8,0,15707368.89,0,100496146.8,100496146.8,0
 12/18  24:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,92642462.35,0,7853684.444,0,92642462.35,92642462.35,0
 12/19  01:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/19  02:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/19  03:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/19  04:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/19  05:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/19  06:00:00,0,0,4597009.177,0,0,18840654,45974605.75,82190667.82,0,17375408.06,0,82190667.82,82190667.82,0
 12/19  07:00:00,30613279.5,0,4597009.177,0,8652.895022,29158128,55621997.01,179758456.4,33476342.18,15707368.89,79262309.58,179758456.4,179758456.4,15172687.89
 12/19  08:00:00,34858536.18,0,4597009.177,0,8652.895022,4859688,96493080.11,230210022.4,31695270.68,47122106.66,81726494.75,230210022.4,230210022.4,15172687.89
 12/19  09:00:00,26384610.87,0,4597009.177,0,8652.895022,0,205723914.2,396014718.9,2147886.736,141366320,48915831.75,396014718.9,396014718.9,20383334.14
 12/19  10:00:00,6102112.66,0,4597009.177,0,8652.895022,0,175362538.2,339925286.7,97674.28498,141366320,23187775.63,339925286.7,339925286.7,16987988.68
 12/19  11:00:00,5999016.162,0,4597009.177,0,8652.895022,0,168356066.8,332185198.9,0,141366320,22454159.19,332185198.9,332185198.9,16455143.03
 12/19  12:00:00,11019051.47,0,8859978.492,0,8652.895022,0,175362538.2,345315312.7,0,141366320,28577801.58,345315312.7,345315312.7,17558750.1
 12/19  13:00:00,10539582.6,0,13297879.15,0,8652.895022,0,178973217.5,350230786.1,0,141366320,29882595.77,350230786.1,350230786.1,19343013.17
 12/19  14:00:00,10800195.2,0,14932583.14,0,8652.895022,0,181201264.4,352084026.8,0,141366320,29507789.52,352084026.8,352084026.8,18707594.32
 12/19  15:00:00,4082155.028,0,11359879.51,0,8652.895022,0,168356066.8,331000752.6,0,141366320,21269712.92,331000752.6,331000752.6,17187557.89
 12/19  16:00:00,0,0,8751195.141,0,8652.895022,0,168356066.8,327033601.3,0,141366320,17302561.62,327033601.3,327033601.3,17302561.62
 12/19  17:00:00,0,0,13070907.25,0,8652.895022,0,178865773.9,340047734,1020381.318,141366320,19806987.18,340047734,340047734,18786605.86
 12/19  18:00:00,0,3857135.263,12556234.31,3857135.263,8652.895022,19438752,141927700.6,287514912.9,28307029.12,78536844.44,47602962.96,287514912.9,287514912.9,19295933.85
 12/19  19:00:00,0,27766854.07,32363863.24,27766854.07,8652.895022,29158128,69634939.79,215498730.4,54402215.18,47122106.66,69574903.08,215498730.4,215498730.4,15172687.89
 12/19  20:00:00,0,44653269.43,49250278.61,44653269.43,8652.895022,29158128,60292977.94,217543088.2,65788534.84,47122106.66,80961222.73,217543088.2,217543088.2,15172687.89
 12/19  21:00:00,0,55752366.72,60349375.89,55752366.72,8652.895022,29158128,60292977.94,212838460.3,76791275.8,31414737.77,91963963.7,212838460.3,212838460.3,15172687.89
 12/19  22:00:00,0,67218468.83,71815478,67218468.83,8652.895022,29158128,55621997.01,217003724.8,85627521.27,31414737.77,100800209.2,217003724.8,217003724.8,15172687.89
 12/19  23:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,100496146.8,0,15707368.89,0,100496146.8,100496146.8,0
 12/19  24:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,92642462.35,0,7853684.444,0,92642462.35,92642462.35,0
 12/20  01:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/20  02:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/20  03:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/20  04:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/20  05:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/20  06:00:00,0,0,4597009.177,0,0,18840654,45974605.75,295575965.5,192853683.7,17375408.06,213385297.7,295575965.5,295575965.5,20531613.96
 12/20  07:00:00,0,113055005,117652014.2,113055005,8652.895022,29158128,55621997.01,257531464.6,141862629.9,15707368.89,157035317.8,257531464.6,257531464.6,15172687.89
 12/20  08:00:00,0,111451141.8,116048151,111451141.8,8652.895022,4859688,96493080.11,290289567.4,126633351.9,47122106.66,141806039.8,290289567.4,290289567.4,15172687.89
 12/20  09:00:00,0,75913088.93,80510098.1,75913088.93,8652.895022,0,205723914.2,434097087,67034918.62,141366320,86998199.82,434097087,434097087,19963281.2
 12/20  10:00:00,0,90738004.26,95335013.44,90738004.26,8652.895022,0,175362538.2,374394744.4,41034638.9,141366320,57657233.27,374394744.4,374394744.4,16622594.36
 12/20  11:00:00,0,88977393.13,93574402.31,88977393.13,8652.895022,0,168356066.8,358231893.1,32403235.86,141366320,48500853.37,358231893.1,358231893.1,16097617.51
 12/20  12:00:00,0,60861883.76,69723710.61,60861883.76,8652.895022,0,175362538.2,366605044.1,32706984.17,141366320,49867533,366605044.1,366605044.1,17160548.82
 12/20  13:00:00,0,48701741.85,61996816.23,48701741.85,8652.895022,0,178973217.5,376721459.3,37509429.37,141366320,56373268.99,376721459.3,376721459.3,18863839.62
