Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/02  21:00:00,,-1.1,15.461600101081399,25.28781298056821,15.19482403971433,21.826563303026675,10.500364931701597,34.78783156410942,13878614.464501212,18123940.93935568 
 01/02  21:15:00,,-0.9750000000000001,,,,,,,13878614.464501212,27481601.138417975 
 01/02  21:30:00,,-0.8500000000000001,,,,,,,13062239.89313701,23647849.142527224 
 01/02  21:45:00,,-0.725,,,,,,,11765228.461287152,0.0 
 01/02  22:00:00,,-0.6,15.414199194754066,24.99473381965977,15.221828623585719,21.774794841091354,10.635276280509153,34.44584072792364,13062239.89313701,22030015.428545499 
 01/02  22:15:00,,-0.44999999999999998,,,,,,,13062239.89313701,16723804.823561337 
 01/02  22:30:00,,-0.3,,,,,,,13062239.89313701,26023733.59342463 
 01/02  22:45:00,,-0.15,,,,,,,13878614.464501212,26251751.242847269 
 01/02  23:00:00,,0.0,15.232105684865467,25.28111673692335,15.210463488874878,21.853251708062567,10.675156209644025,34.3249858915089,12599478.387586203,2790145.460238715 
 01/02  23:15:00,,0.0,,,,,,,13878614.464501212,26374206.979198867 
 01/02  23:30:00,,0.0,,,,,,,13878614.464501212,19810308.586097167 
 01/02  23:45:00,,0.0,,,,,,,13062239.89313701,26153030.986921878 
 01/02  24:00:00,,0.0,15.356302000054365,25.23831055955287,15.558524934425213,21.619397989734784,10.641291863319985,34.404717301037738,13470427.17881911,25921183.170821214 
 01/03  00:15:00,,0.275,,,,,,,10871653.632099586,3045053.9687843315 
 01/03  00:30:00,,0.55,,,,,,,12143391.064501211,24300651.325721574 
 01/03  00:45:00,,0.8250000000000001,,,,,,,12143391.064501211,18579654.54181668 
 01/03  01:00:00,,1.1,15.534351190114672,25.268210862623286,15.209496682243684,22.361442034411586,10.67587798929962,34.34301070218493,11327016.49313701,24897631.778594629 
 01/03  01:15:00,,1.375,,,,,,,11327016.49313701,23562447.91583475 
 01/03  01:30:00,,1.6500000000000002,,,,,,,10865185.540590395,2826094.444992701 
 01/03  01:45:00,,1.9250000000000003,,,,,,,12143391.064501211,26259708.925754098 
 01/03  02:00:00,,2.2,15.482411050970823,25.845287080881734,15.214801234314252,22.71851469907351,10.700788523319606,34.35979020159455,12143391.064501211,21170789.64516102 
 01/03  02:15:00,,2.35,,,,,,,12143391.064501211,30312350.65308098 
 01/03  02:30:00,,2.5,,,,,,,11327016.49313701,25374222.49499434 
 01/03  02:45:00,,2.6499999999999996,,,,,,,10863802.799005513,2905497.295573191 
 01/03  03:00:00,,2.8,15.488946564759076,26.856171162382414,15.207127452257435,23.90663900253818,10.641523492446434,34.88018959585964,12143391.064501211,24602196.79255698 
