Date/Time,InteriorLights:Electricity [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),ElectricityNet:Facility [J](Hourly),Pumps:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ExteriorLights:Electricity [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly) 
 06/26  22:00:00,298466186.2,0,0,884052883.8,4844478110,113527091.1,2227359132,4844478110,300333831.1,1228766602,467995376,22561144.49,4844478110
 06/26  23:00:00,149233093.1,0,0,847415972.5,4161911083,110890426,2227359132,4161911083,291461629.4,825984616.1,379538063.8,22331757.82,4161911083
 06/26  24:00:00,74616546.55,0,0,777079165.1,3805879016,88108072.35,2227359132,3805879016,238742613.3,772847120.1,291080751.6,22296581.59,3805879016
 06/27  01:00:00,80771321.23,0,0,762611362.6,3643298230,87074439.96,2227359132,3643298230,239144413.4,773067884.2,153357479.7,9975553.087,3643298230
 06/27  02:00:00,80771321.23,0,0,759890737.5,3637850377,86861429.92,2227359132,3637850377,244327496.8,778204318.6,153357479.7,9975553.087,3637850377
 06/27  03:00:00,80771321.23,0,0,748187132.3,3600791548,86520274.14,2227359132,3600791548,220938966.6,754808055.7,153357479.7,9975553.087,3600791548
 06/27  04:00:00,80771321.23,0,0,840694030.2,3796750472,112970075.3,2227359132,3796750472,262556838.7,796333900.5,153357479.7,9975553.087,3796750472
 06/27  05:00:00,79576655.5,0,0,761397637.2,3645301053,86691388.15,2227359132,3645301053,229004621.9,762660006.3,170303929.9,9975553.087,3645301053
 06/27  06:00:00,144275251.3,0,0,779241288.2,3765818590,88062849.56,2227359132,3765818590,244781238.7,778404209.7,176914624.4,9975553.087,3765818590
 06/27  07:00:00,128379607.6,0,0,878085449,4600708827,113757302.8,2227359132,4600708827,348030990.9,1275315923,353829248.7,9975553.087,4600708827
 06/27  08:00:00,379938773.5,0,0,930939139.2,5023513158,114289804.9,2227359132,5023513158,375956137.5,1303637384,442286560.9,23461278.66,5023513158
 06/27  09:00:00,1139816321,0,0,1162990181,6879747487,122087950,2882520710,6879747487,577302154.4,1505323807,442286560.9,104714422.4,6879747487
 06/27  10:00:00,1139816321,0,0,1144754136,6837654348,120116823.3,2882520710,6837654348,688102154.9,1616398407,309600592.6,126078482.8,6837654348
 06/27  11:00:00,1139816321,0,0,1179595575,6732978112,120694108.2,2882520710,6732978112,724921819.3,1653305346,132685968.3,124440333.7,6732978112
 06/27  12:00:00,1139816321,0,0,1190663040,6742782078,120881579.3,2882520710,6742782078,723470849.7,1651873596,132685968.3,142066369.2,6742782078
 06/27  13:00:00,1139816321,0,0,1141370096,6507402917,119192918.7,2751488394,6507402917,670105608.3,1598188319,132685968.3,176242546.3,6507402917
 06/27  14:00:00,1139816321,0,0,1209302797,6855848030,122209795.9,2882520710,6855848030,816568828.4,1744177670,132685968.3,173921056.9,6855848030
 06/27  15:00:00,1139816321,0,0,1200655267,6848261338,122193029.7,2882520710,6848261338,817646433,1744878578,132685968.3,126357410.8,6848261338
 06/27  16:00:00,1139816321,0,0,1214483997,6858014069,122807443.8,2882520710,6858014069,812956019.4,1740377181,132685968.3,104855025.4,6858014069
 06/27  17:00:00,1140095635,0,0,1223139247,7007877250,122508736.2,2882520710,7007877250,777268718,1705554133,309600592.6,132722246.4,7007877250
 06/27  18:00:00,646758804.1,0,0,1061078417,5673004021,116528714.9,2358391447,5673004021,495216467.2,1424017924,442286560.9,97647929.05,5673004021
 06/27  19:00:00,415902576.5,0,0,985785078.7,5141624581,114805896.6,2227359132,5141624581,402741726.3,1331531632,442286560.9,69971816.9,5141624581
 06/27  20:00:00,447699279.3,0,0,946041931.3,5114003295,114253372.2,2227359132,5114003295,370765001.5,1298985358,455140968.4,50144837.44,5114003295
 06/27  21:00:00,298466186.2,0,0,927428256,5016776586,113975497.8,2227359132,5016776586,340351215.3,1268594041,556452688.2,50305893.5,5016776586
 06/27  22:00:00,298466186.2,0,0,911951832.9,4895647500,113747816.7,2227359132,4895647500,323383545.9,1251798888,467995376,35439265.76,4895647500
 06/27  23:00:00,149233093.1,0,0,861554058.7,4194703971,111243009.1,2227359132,4194703971,309763848.1,844418602,379538063.8,22266914.59,4194703971
 06/27  24:00:00,74616546.55,0,0,791429174.1,3842903286,88696218.56,2227359132,3842903286,245522947.4,780115301.4,291080751.6,9975553.087,3842903286
 06/28  01:00:00,80771321.23,0,0,788880333,3707511972,88050961.38,2227359132,3707511972,244894228.9,779401149.7,153357479.7,9975553.087,3707511972
 06/28  02:00:00,80771321.23,0,0,786969532.7,3709326740,87446158.82,2227359132,3709326740,249224600.6,783542116.9,153357479.7,9975553.087,3709326740
 06/28  03:00:00,80771321.23,0,0,766111669,3663806031,86568809.43,2227359132,3663806031,225439104.7,759621090.3,153357479.7,9975553.087,3663806031
 06/28  04:00:00,80771321.23,0,0,846735741.8,3848587885,112919320.2,2227359132,3848587885,271470673.7,805522865.3,153357479.7,9975553.087,3848587885
 06/28  05:00:00,80060378.43,0,0,767672065.2,3682438264,86752405.78,2227359132,3682438264,233536172.2,767605898.9,170303929.9,9975553.087,3682438264
 06/28  06:00:00,144275251.3,0,0,777909554.8,3780150250,87072125.18,2227359132,3780150250,247397802.8,781444838.9,176914624.4,9975553.087,3780150250
 06/28  07:00:00,127097104.3,0,0,865130203.1,4588321171,113543254.4,2227359132,4588321171,349828853.8,1277181373,353829248.7,9975553.087,4588321171
 06/28  08:00:00,379938773.5,0,0,924509584.6,5045833224,114461669.4,2227359132,5045833224,404533893.7,1331856101,442286560.9,36948859.95,5045833224
 06/28  09:00:00,1139816321,0,0,1115092496,6845038443,121670818.1,2882520710,6845038443,590907927.2,1518226293,442286560.9,104834985.9,6845038443
 06/28  10:00:00,1139816321,0,0,1075775909,6795284810,119150755.1,2882520710,6795284810,715676911.9,1642810340,309600592.6,110378270.8,6795284810
 06/28  11:00:00,1139816321,0,0,1114049385,6715281459,119689465.3,2882520710,6715281459,773776000.4,1700979194,132685968.3,126903833.2,6715281459
 06/28  12:00:00,1139816321,0,0,1122640967,6718816376,119978204.3,2882520710,6718816376,768430595.8,1695389582,132685968.3,155145425.6,6718816376
 06/28  13:00:00,1139816321,0,0,1094697860,6484838330,118636074,2751488394,6484838330,694770101.9,1621784799,132685968.3,177089410.5,6484838330
 06/28  14:00:00,1139816321,0,0,1178681031,6849075197,121804728.3,2882520710,6849075197,840822828.5,1767809115,132685968.3,173571357.2,6849075197
 06/28  15:00:00,1139816321,0,0,1203933115,6888808602,123644832.4,2882520710,6888808602,853464045.2,1780257559,132685968.3,109520617.7,6888808602
 06/28  16:00:00,1139816321,0,0,1271467408,6846754563,132863431.6,2882520710,6846754563,734657114.3,1661283203,132685968.3,108874673.3,6846754563
