Date/Time,ElectricityNet:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly),ElectricityPurchased:Facility [J](Hourly),ExteriorLights:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Cooling:Electricity [J](Hourly) 
 05/29  15:00:00,48469436.69,0,0,5557023.551,13456795.94,2055596.969,48469436.69,0,2.18E-05,20478388.79,0,0,12478654.98,48469436.69,2055596.969,14921365.24
 05/29  16:00:00,49449137.46,0,0,5557023.551,13830432.1,2055596.969,49449137.46,0,2.18E-05,21084453.41,0,0,12478654.98,49449137.46,2055596.969,15527429.86
 05/29  17:00:00,49853441.05,0,0,5557023.551,14118559.13,2055596.969,49853441.05,0,2.18E-05,21200629.97,0,0,12478654.98,49853441.05,2055596.969,15643606.42
 05/29  18:00:00,35956069.1,0,0,5557023.551,9780406.465,2055596.969,35956069.1,0,2.18E-05,17880738.17,0,0,6239327.492,35956069.1,2055596.969,12323714.62
 05/29  19:00:00,17297132.98,0,0,5557023.551,7188781.461,2055596.969,17297132.98,0,2.18E-05,5557023.551,0,0,2495730.997,17297132.98,2055596.969,0
 05/29  20:00:00,14848350.96,0,0,0,7487192.991,2055596.969,14848350.96,2809830,2.18E-05,0,0,0,2495730.997,14848350.96,2055596.969,0
 05/29  21:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/29  22:00:00,13627651.96,0,0,0,5704527.993,2055596.969,13627651.96,3371796,2.18E-05,0,0,0,2495730.997,13627651.96,2055596.969,0
 05/29  23:00:00,12023253.46,0,0,0,4100129.495,2055596.969,12023253.46,3371796,0,0,0,0,2495730.997,12023253.46,2055596.969,0
 05/29  24:00:00,11131920.96,0,0,0,3208796.996,2055596.969,11131920.96,3371796,0,0,0,0,2495730.997,11131920.96,2055596.969,0
 05/30  01:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/30  02:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/30  03:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/30  04:00:00,13761817.86,0,0,0,3208796.996,2055596.969,13761817.86,2258096.4,0,0,0,0,6239327.492,13761817.86,2055596.969,0
 05/30  05:00:00,13004434.71,0,0,0,3204112.646,2055596.969,13004434.71,1505397.6,0,0,0,0,6239327.492,13004434.71,2055596.969,0
 05/30  06:00:00,12220268.92,0,0,0,3925344.46,2055596.969,12220268.92,0,0,0,0,0,6239327.492,12220268.92,2055596.969,0
 05/30  07:00:00,25132215.38,0,0,5557023.551,3737384.469,2055596.969,25132215.38,0,0,13099906.45,0,0,6239327.492,25132215.38,2055596.969,7542882.894
 05/30  08:00:00,29196005.07,0,0,5557023.551,6824789.03,2055596.969,29196005.07,0,2.18E-05,14076291.58,0,0,6239327.492,29196005.07,2055596.969,8519268.025
 05/30  09:00:00,48420560.72,0,0,5557023.551,14479306.74,2055596.969,48420560.72,0,2.18E-05,19407002.02,0,0,12478654.98,48420560.72,2055596.969,13849978.47
 05/30  10:00:00,49798461.79,0,0,5557023.551,14321177.01,2055596.969,49798461.79,0,2.18E-05,20943032.83,0,0,12478654.98,49798461.79,2055596.969,15386009.28
 05/30  11:00:00,50718812.5,0,0,5557023.551,14446463.63,2055596.969,50718812.5,0,2.18E-05,21738096.92,0,0,12478654.98,50718812.5,2055596.969,16181073.36
 05/30  12:00:00,51150065.13,0,0,5557023.551,14537795.29,2055596.969,51150065.13,0,2.18E-05,22078017.88,0,0,12478654.98,51150065.13,2055596.969,16520994.33
 05/30  13:00:00,47066715.11,0,0,5557023.551,12213522.03,2055596.969,47066715.11,0,2.18E-05,21067660.42,0,0,11729935.69,47066715.11,2055596.969,15510636.87
 05/30  14:00:00,49688943.52,0,0,5557023.551,13238934.17,2055596.969,49688943.52,0,2.18E-05,21915757.4,0,0,12478654.98,49688943.52,2055596.969,16358733.84
 05/30  15:00:00,49511539.08,0,0,5557023.551,13652347.81,2055596.969,49511539.08,0,2.18E-05,21324939.32,0,0,12478654.98,49511539.08,2055596.969,15767915.77
 05/30  16:00:00,48871525.09,0,0,5557023.551,13727323.74,2055596.969,48871525.09,0,2.18E-05,20609949.39,0,0,12478654.98,48871525.09,2055596.969,15052925.84
 05/30  17:00:00,49647368,0,0,5557023.551,13744922.97,2055596.969,49647368,0,2.18E-05,21368193.08,0,0,12478654.98,49647368,2055596.969,15811169.53
 05/30  18:00:00,37017285.24,0,0,5557023.551,9755796.154,2055596.969,37017285.24,0,2.18E-05,18966564.62,0,0,6239327.492,37017285.24,2055596.969,13409541.07
 05/30  19:00:00,17275272.68,0,0,5557023.551,7166921.161,2055596.969,17275272.68,0,2.18E-05,5557023.551,0,0,2495730.997,17275272.68,2055596.969,0
